adim_pressure,adim_mass_flow_rate,efficiency,adim_power
0,0.000372288,0,0
0.002397158,0.001719807,-32.06422116,-0.00013219
0.004794315,0.003046082,-8.054514946,-0.000117627
0.007191473,0.0043501,-3.183627689,-9.95954E-05
0.009588631,0.005633885,-1.446431419,-7.8138E-05
0.01198579,0.006898449,-0.644609531,-5.32985E-05
0.014382946,0.00814278,-0.214489017,-2.51203E-05
0.016780104,0.00936789,0.040413611,6.35278E-06
0.019177263,0.010573778,0.202575038,4.10774E-05
0.021574421,0.011762468,0.311346221,7.90098E-05
0.023971577,0.01293396,0.387381552,0.000120107
0.026368736,0.014088254,0.442338763,0.000164324
0.028765894,0.01522535,0.483180455,0.000211619
0.031163052,0.016348282,0.514164117,0.000261947
0.033560209,0.017455029,0.538184929,0.000315266
0.035957367,0.0185466,0.557111909,0.000371531
0.038354525,0.01962502,0.572198373,0.000430698
0.040751684,0.020689277,0.58440557,0.000492726
0.04314884,0.021740383,0.59437715,0.000557569
0.045545998,0.022778337,0.602609002,0.000625184
0.047943157,0.023805163,0.609420131,0.000695528
0.050340315,0.024820861,0.615096573,0.000768557
0.052737471,0.02582543,0.619858643,0.000844228
0.05513463,0.026818872,0.623877897,0.000922496
0.057531788,0.027803208,0.6272437,0.001003319
0.059928947,0.02877844,0.630067355,0.001086653
0.062326103,0.029744567,0.632438394,0.001172454
0.064723261,0.030703612,0.634387535,0.001260679
0.067120419,0.031653552,0.636018136,0.001351284
0.069517576,0.032597423,0.637319399,0.001444226
0.071914734,0.033534212,0.638355305,0.00153946
0.074311892,0.034465943,0.639124419,0.001636944
0.076709051,0.035391603,0.639678144,0.001736634
0.079106207,0.036312206,0.640025484,0.001838487
0.081503365,0.037228762,0.640173107,0.001942458
0.083900524,0.038141271,0.640142955,0.002048504
0.086297682,0.039050745,0.639937401,0.002156582
0.088694838,0.039957185,0.639574042,0.002266648
0.091091997,0.040862613,0.639036595,0.002378658
0.093489155,0.041765005,0.638371609,0.00249257
0.095886314,0.042667398,0.63754553,0.002608339
0.09828347,0.043568779,0.636586547,0.002725921
0.100680628,0.044471172,0.635476728,0.002845274
0.103077786,0.045372553,0.634256117,0.002966354
0.105474945,0.046275958,0.632891972,0.003089117
0.107872101,0.047181386,0.631394854,0.003213519
0.110269259,0.048088837,0.629774339,0.003339517
0.112666418,0.048999323,0.628026245,0.003467068
0.115063576,0.049912844,0.626159402,0.003596128
0.117460732,0.0508294,0.624181948,0.003726652
0.119857891,0.051751014,0.622077023,0.003858599
0.122255049,0.052678698,0.619841157,0.003991924
0.124652208,0.053610429,0.61750625,0.004126583
0.127049364,0.054549241,0.615044613,0.004262534
0.129446522,0.055494123,0.612475618,0.004399732
0.131843681,0.056446087,0.609795344,0.004538133
0.134240839,0.057406144,0.607000329,0.004677696
0.136637995,0.058374294,0.604098057,0.004818375
0.139035153,0.059350537,0.601095534,0.004960127
0.141432312,0.060336897,0.597979337,0.005102909
0.143829468,0.061333373,0.594757002,0.005246677
0.146226626,0.062339966,0.591435628,0.005391387
0.148623785,0.063357687,0.588012568,0.005536996
0.151020943,0.064386537,0.584494807,0.005683461
0.153418099,0.065428537,0.580871017,0.005830738
0.155815258,0.066481666,0.57716621,0.005978783
0.158212416,0.067548958,0.573360559,0.006127552
0.160609575,0.068630413,0.569461412,0.006277003
0.163006731,0.06972502,0.565483968,0.006427091
0.165403889,0.070834801,0.561418267,0.006577774
0.167801048,0.071960769,0.557263361,0.006729007
0.170198206,0.073101911,0.553033999,0.006880746
0.172595362,0.07425924,0.548728932,0.007032949
0.17499252,0.075433767,0.544347281,0.007185572
