Parameters vs Time
Line A: Structure Forces, Total Force/Moment - Global X (floater) [N]

*Time (s);Line A (N)
0.0;672033.875
0.1;673045.8125
0.2;673849
0.3;674525.9375
0.4;675142.9375
0.5;675748.875
0.6;676376.9375
0.7;677043
0.8;677744.9375
0.9;678462.6875
1;679164.0625
1.1;679799.25
1.2;680309
1.3;680621.875
1.4;680661.4375
1.5;680341.25
1.6;679576.375
1.7;678280.3125
1.8;676367.5625
1.9;673758.25
2;670378.1875
2.1;666163.25
2.2;661057.4375
2.3;655019.9375
2.4;648018
2.5;640037.125
2.6;631074.875
2.7;621141.8125
2.8;610265.5
2.9;598484.0625
3;585851.75
3.1;572432.5625
3.2;558304
3.3;543550.3125
3.4;528267.1875
3.5;512556.0625
3.6;496525.25
3.7;480286.28125
3.8;463954.09375
3.9;447645.8125
4;431478.34375
4.1;415567.15625
4.2;400026.40625
4.3;384967.28125
4.4;370495.65625
4.5;356714.625
4.6;343719.09375
4.7;331600.125
4.8;320438.8125
4.9;310311.25
5;301284.375
5.1;293415.125
5.2;286753.5625
5.3;281337.625
5.4;277195
5.5;274344.96875
5.6;272793.34375
5.7;272535.53125
5.8;273554.46875
5.9;275820.65625
6;279292.375
6.1;283915.8125
6.2;289622.75
6.3;296335.8125
6.4;303961.75
6.5;312398.53125
6.6;321532.4375
6.7;331239.375
6.8;341387.09375
6.9;351835.9375
7;362440.90625
7.1;373052.25
7.2;383516.9375
7.3;393685.4375
7.4;403407.8125
7.5;412539.59375
7.6;420943.25
7.7;428490
7.8;435061.90625
7.9;440556.6875
8;444885.5625
8.1;447977.25
8.2;449778.65625
8.3;450256.90625
8.4;449398.40625
8.5;447210.34375
8.6;443720.75
8.7;438976.09375
8.8;433042.34375
8.9;426003.25
9;417956.78125
9.1;409015.53125
9.2;399303.53125
9.3;388949.5625
9.4;378091.96875
9.5;366869.46875
9.6;355418.625
9.7;343875.875
9.8;332366.90625
9.9;321010.65625
10;309912.53125
10.1;299165
10.2;288845.4375
10.3;279012.21875
10.4;269708.15625
10.5;260957
10.6;252765
10.7;245121.953125
10.8;238002.25
10.9;231366.46875
11;225164.53125
11.1;219337.265625
11.2;213820.125
11.3;208546.34375
11.4;203449.75
11.5;198468.5625
11.6;193547.9375
11.7;188645.125
11.8;183729.03125
11.9;178786.09375
12;173819.5625
12.1;168853.390625
12.2;163931.109375
12.3;159116.546875
12.4;154495.09375
12.5;150171.0625
12.6;146266
12.7;142916.578125
12.8;140271.984375
12.9;138490.890625
13;137735.3125
13.1;138170.0625
13.2;139954.28125
13.3;143238.96875
13.4;148163.25
13.5;154847.109375
13.6;163388.046875
13.7;173859.6875
13.8;186304.375
13.9;200733.21875
14;217121.484375
14.1;235411.515625
14.2;255506.96875
14.3;277276.0625
14.4;300552.78125
14.5;325136.5
14.6;350799.96875
14.7;377286.09375
14.8;404318.75
14.9;431603.25
15;458834.1875
15.1;485702.1875
15.2;511895.3125
15.3;537112.5
15.4;561064
15.5;583477.125
15.6;604109.75
15.7;622744.5625
15.8;639200.4375
15.9;653334
16;665043.5
16.1;674269.125
16.2;680995.25
16.3;685251.5625
16.4;687108.8125
16.5;686679
16.6;684109.125
16.7;679584.5
16.8;673316.125
16.9;665539.875
17;656504.625
17.1;646479.5
17.2;635729.75
17.3;624520.75
17.4;613114.5
17.5;601749.875
17.6;590651.125
17.7;580014.9375
17.8;570008.125
17.9;560760.625
18;552368.4375
18.1;544887
18.2;538334.0625
18.3;532686.3125
18.4;527881.8125
18.5;523824.84375
18.6;520385.28125
18.7;517406.625
18.8;514707.5625
18.9;512090.125
19;509342.09375
19.1;506245.46875
19.2;502588.0625
19.3;498157.5
19.4;492758.59375
19.5;486214.21875
19.6;478373.40625
19.7;469110.96875
19.8;458339.15625
19.9;446002.03125
20;432084.5
20.1;416610.8125
20.2;399643.71875
20.3;381284.84375
20.4;361673.28125
20.5;340981.84375
20.6;319412.15625
20.7;297192.9375
20.8;274573.8125
20.9;251817.875
21;229197.5625
21.1;206989.703125
21.2;185466.375
21.3;164891.5
21.4;145512.890625
21.5;127556.8515625
21.6;111227.2421875
21.7;96696.4375
21.8;84105.15625
21.9;73558.1484375
22;65125.08203125
22.1;58836.703125
22.2;54687.109375
22.3;52635.5546875
22.4;52606.97265625
22.5;54496.8984375
22.6;58171.1484375
22.7;63475.015625
22.8;70234.2421875
22.9;78261.1015625
23;87359.9765625
23.1;97332.828125
23.2;107981.4765625
23.3;119116.3984375
23.4;130557.7890625
23.5;142142.53125
23.6;153724.3125
23.7;165178.421875
23.8;176402.375
23.9;187317.953125
24;197872.15625
24.1;208034.109375
24.2;217796.125
24.3;227171.0625
24.4;236189.6875
24.5;244897.375
24.6;253351.78125
24.7;261616.5
24.8;269759.75
24.9;277848.1875
25;285945.75
25.1;294106
25.2;302371.9375
25.3;310771.0625
25.4;319314.8125
25.5;327996.40625
25.6;336785.84375
25.7;345636.75
25.8;354481.46875
25.9;363232.53125
26;371788.03125
26.1;380028.21875
26.2;387823.09375
26.3;395039.03125
26.4;401532.8125
26.5;407164
26.6;411798.375
26.7;415306.9375
26.8;417578
26.9;418515.5625
27;418045.75
27.1;416115.40625
27.2;412703.4375
27.3;407812.8125
27.4;401477.75
27.5;393763.8125
27.6;384764.09375
27.7;374601.46875
27.8;363422.4375
27.9;351401
28;338726.34375
28.1;325608.34375
28.2;312265.75
28.3;298921.28125
28.4;285804.78125
28.5;273136.40625
28.6;261130.375
28.7;249988.265625
28.8;239889
28.9;230990.90625
29;223427.875
29.1;217299.609375
29.2;212677.71875
29.3;209601.9375
29.4;208073.046875
29.5;208063.8125
29.6;209510.84375
29.7;212324.15625
29.8;216382.609375
29.9;221541.65625
30;227638.734375
30.1;234492.65625
30.2;241912.734375
30.3;249701.75
30.4;257661.140625
30.5;265597.3125
30.6;273326.84375
30.7;280675.8125
30.8;287493.40625
30.9;293644.4375
31;299023.71875
31.1;303548.8125
31.2;307164.71875
31.3;309846.21875
31.4;311596.625
31.5;312445.4375
31.6;312447.9375
31.7;311681.96875
31.8;310246.5625
31.9;308255.5
32;305835
32.1;303119.875
32.2;300248.96875
32.3;297358.40625
32.4;294579.5625
32.5;292035.34375
32.6;289832.34375
32.7;288064.65625
32.8;286802.1875
32.9;286096
33;285972.5625
33.1;286434.59375
33.2;287460.6875
33.3;289006.25
33.4;291005.4375
33.5;293371.375
33.6;296002.15625
33.7;298779.09375
33.8;301577.59375
33.9;304264.6875
34;306704.53125
34.1;308766.34375
34.2;310323.125
34.3;311260.9375
34.4;311477.15625
34.5;310888.4375
34.6;309429.5625
34.7;307058.40625
34.8;303755.125
34.9;299524.625
35;294394.78125
35.1;288415.78125
35.2;281662.84375
35.3;274225.53125
35.4;266212.28125
35.5;257746.125
35.6;248957.125
35.7;239982.515625
35.8;230960.03125
35.9;222026
36;213307.796875
36.1;204924.71875
36.2;196978.734375
36.3;189558.0625
36.4;182727.25
36.5;176530.4375
36.6;170990.09375
36.7;166104.046875
36.8;161846.75
36.9;158169.0625
37;155006.578125
37.1;152270.78125
37.2;149865
37.3;147677.5
37.4;145591.6875
37.5;143491.40625
37.6;141259.109375
37.7;138789.65625
37.8;135987.59375
37.9;132776.84375
38;129100.3984375
38.1;124929.0078125
38.2;120260.9140625
38.3;115123.3828125
38.4;109576.8203125
38.5;103717.1953125
38.6;97669.0703125
38.7;91591.1171875
38.8;85671.0390625
38.9;80123.4453125
39;75184.828125
39.1;71110.828125
39.2;68168.46875
39.3;66635.59375
39.4;66788.125
39.5;68896.3671875
39.6;73222.0625
39.7;80005.359375
39.8;89465.25
39.9;101787.6796875
40;117126.765625
40.1;135594.984375
40.2;157257.828125
40.3;182141.421875
40.4;210219.296875
40.5;241413.4375
40.6;275600.28125
40.7;312607.21875
40.8;352217.5625
40.9;394170.6875
41;438167.25
41.1;483876.28125
41.2;530939.25
41.3;578977.3125
41.4;627600.25
41.5;676402.0625
41.6;724987
41.7;772959.5
41.8;819941.8125
41.9;865580.375
42;909539.3125
42.1;951523.125
42.2;991265.875
42.3;1028548.8125
42.4;1063193
42.5;1095066.875
42.6;1124086.375
42.7;1150200.75
42.8;1173421.625
42.9;1193790.75
43;1211389.5
43.1;1226348.25
43.2;1238811
43.3;1248955.5
43.4;1256982
43.5;1263098.5
43.6;1267531.75
43.7;1270504.875
43.8;1272246.25
43.9;1272965
44;1272868.125
44.1;1272138.75
44.2;1270948.375
44.3;1269429.625
44.4;1267704.25
44.5;1265855.25
44.6;1263948.625
44.7;1262014.5
44.8;1260054.25
44.9;1258049.375
45;1255956.625
45.1;1253705.875
45.2;1251216
45.3;1248394.25
45.4;1245126.625
45.5;1241311.375
45.6;1236825.625
45.7;1231565.5
45.8;1225421.375
45.9;1218302.25
46;1210126.625
46.1;1200829.25
46.2;1190361.125
46.3;1178697.5
46.4;1165833.375
46.5;1151785.25
46.6;1136587.375
46.7;1120300.5
46.8;1103004.75
46.9;1084793.375
47;1065781.75
47.1;1046095.625
47.2;1025870.625
47.3;1005253.75
47.4;984388.75
47.5;963433.875
47.6;942534.6875
47.7;921835.0625
47.8;901473.875
47.9;881578.625
48;862265.25
48.1;843632.875
48.2;825773.0625
48.3;808750.125
48.4;792622
48.5;777423.9375
48.6;763171.5625
48.7;749868.4375
48.8;737502.75
48.9;726043.9375
49;715457.3125
49.1;705685.25
49.2;696666.0625
49.3;688334.9375
49.4;680612.1875
49.5;673420.125
49.6;666678.5
49.7;660304.125
49.8;654215.5625
49.9;648336.875
50;642594.75
50.1;636915.9375
50.2;631237.25
50.3;625502.8125
50.4;619661.3125
50.5;613667.625
50.6;607486.8125
50.7;601087.25
50.8;594447.25
50.9;587546.625
51;580380.4375
