! ------------ AirfoilInfo v1.00.x Input File ----------------------------------.
! Airfoil properties to be used with AeroDyn v15 
! Generated from "ANNEX I - ALS-070-0002-R01 - TECHNICAL REPORT GE70 1.5MW S TWR64.7 AEROELASTIC MODEL DATA.xlsx" 
! Processed via AirfoilPrep_v2.02.03_airfoil17.xlsx; start all comment lines with !
! ------------------------------------------------------------------------------
"DEFAULT"   InterpOrd         ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3] 
1.0         NonDimArea        ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
0         NumCoords         ! The number of coordinates in the airfoil shape file.  Set to zero if coordinates not included.
 "unused"    BL_file           ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1           NumTabs           ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1
! ------------------------------------------------------------------------------
3.e6        Re                ! Reynolds numbers in millions
0.0         UserProp          ! User property (control) setting
True        InclUAdata        ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefs below this line
!........................................
-3.804   alpha0            ! 0-lift angle of attack, depends on airfoil.
11       alpha1            ! Angle of attack at f=0.7, (approximately the stall angle) for AOA>alpha0.
-25      alpha2            ! Angle of attack at f=0.7, (approximately the stall angle) for AOA<alpha0.
1        eta_e             ! Recovery factor in the range [0.85 - 0.95] used only for UAMOD=1, it is set to 1 in the code when flookup=True.
5.9467   C_nalpha          ! Slope of the 2D normal force coefficient curve in the linear region of the polar.
default  T_f0              ! Intial value of the time constant associated with Df in the expression of Df and f'. Default value = 3.
default  T_V0              ! Intial value of the time constant associated with the vortex lift decay process; it is used in the expression of Cvn. It depends on Re,M, and airfoil class. Default value= 6.
default  T_p               ! Boundary-layer,leading edge pressure gradient time constant in the expression of Dp. It should be tuned based on airfoil experimental data. Default =1.7.
default  T_VL              ! Intial value of the time constant associated with the vortex advection process; it represents the non-dimensional time in semi-chords, needed for a vortex to travel from LE to trailing edge (TE); it is used in the expression of Cvn. It depends on Re, M (weakly), and airfoil. Value's range = [6; 13]; default value= 11.
default  b1                ! Constant in the expression of phi_alpha^c and phi_q^c;  from experimental results, it was set to 0.14. This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils.
default  b2                ! Constant in the expression of phi_alpha^c and phi_q^c;  from experimental results, it was set to 0.53. This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils.
default  b5                ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q; from  experimental results, it was set to 5.
default  A1                ! Constant in the expression of phi_alpha^c and phi_q^c;  from experimental results, it was set to 0.3. This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils.
default  A2                ! Constant in the expression of phi_alpha^c and phi_q^c;  from experimental results, it was set to 0.7. This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils.
default  A5                ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q; from  experimental results, it was set to 1.
0        S1                ! Constant in the f curve bestfit for alpha0<=AOA<=alpha1;by definition it depends on the airfoil. Ignored if UAMod<>1.
0        S2                ! Constant in the f curve bestfit for         AOA>alpha1;by definition it depends on the airfoil. Ignored if UAMod<>1.
0        S3                ! Constant in the f curve bestfit for alpha2<=AOA<alpha0;by definition it depends on the airfoil. Ignored if UAMod<>1.
0        S4                ! Constant in the f curve bestfit for         AOA<alpha2;by definition it depends on the airfoil. Ignored if UAMod<>1.
1.5302   Cn1               ! Critical value of C0n at leading edge separation. It should be extracted from airfoil data at a given Mach and Reynolds number. It can be calculated from the static value of Cn at either the break in the pitching moment or the loss of chord force at the onset of stall. It is close to the condition of maximum lift of the airfoil at low Mach numbers.
-1.196   Cn2               ! As Cn1 for negative AOAs.
default  St_sh             ! Strouhal's shedding frequency constant; default =0.19.
0.0088   Cd0               ! 2D drag coefficient value at 0-lift.
-0.0261  Cm0               ! 2D pitching moment coeffcient about 1/4-chord location, at 0-lift, positive if nose up.
0        k0                ! Constant in the \hat(x)_cp curve best-fit; = (\hat(x)_AC-0.25). Ignored if UAMod<>1.
0        k1                ! Constant in the \hat(x)_cp curve best-fit. Ignored if UAMod<>1.
0        k2                ! Constant in the \hat(x)_cp curve best-fit. Ignored if UAMod<>1.
0        k3                ! Constant in the \hat(x)_cp curve best-fit. Ignored if UAMod<>1.
0        k1_hat            ! Constant in the expression of Cc due to leading edge vortex effects. Ignored if UAMod<>1.
default  x_cp_bar          ! Constant in the expression of \hat(x)_cp^v. Default value =0.2. Ignored if UAMod<>1.
default  UACutout          ! Angle of attack above which unsteady aerodynamics are disabled (deg). [Specifying the string "Default" sets UACutout to 45 degrees]
default  filtCutOff        ! Reduced frequency cut-off for low-pass filtering the AoA input to UA, as well as the 1st and 2nd derivatives (-) [default = 0.5]
!........................................
! Table of aerodynamics coefficients
41      NumAlf            ! Number of data lines in the following CoeffData table
!Alpha      Cl            Cd             Cm
!(deg)      (-)           (-)            (-)
-180               -0.0900                0.1000               -0.0500
-175                0.2000                0.1200                0.2000
-170                0.6000                0.1500                0.4000
-167                0.8000                0.2000                0.3000
-160                0.5500                0.3000                0.2800
-145                0.8000                0.5500                0.3250
-120                0.5000                1.0600                0.3250
-90                -0.1140                1.3000                0.3250
-60                -0.7550                1.0600                0.3250
-30                -1.2000                0.4500                0.2200
-20                -1.2000                0.2000                0.0500
-15                -1.1000                0.1000                0.0000
-10                -0.8200                0.0120                0.0000
-6                 -0.3650                0.0090                -0.0168
-2                  0.3000                0.0087                -0.0337
2                   0.7300                0.0095                -0.0505
4                   0.9456                0.0099                -0.0589
6                   1.1600                0.0107                -0.0601
8                   1.3789                0.0147                -0.0613
10                  1.5500                0.0218                -0.0685
12                  1.5500                0.0360                -0.0717
14                  1.4430                0.0560                -0.0808
16                  1.3650                0.0920                -0.0900
18                  1.2700                0.1450                -0.0966
20                  1.2000                0.2000                -0.1033
25                  1.1300                0.3200                -0.1200
30                  1.1400                0.4500                -0.1400
40                  1.0600                0.6900                -0.1800
50                  0.9300                0.9000                -0.2200
60                  0.7550                1.0600                -0.2600
70                  0.5550                1.1800                -0.2925
80                  0.3400                1.2600                -0.3250
90                  0.1140                1.3000                -0.3250
100                -0.1150                1.2600                -0.3250
120                -0.5000                1.0600                -0.3250
150                -0.8000                0.5500                -0.3250
160                -0.7000                0.3000                -0.2800
165                -0.7500                0.2000                -0.3000
170                -0.9000                0.1500                -0.4000
175                -0.6000                0.1200                -0.1800
180                -0.0900                0.1000                -0.0500

    
